file,inputs,keys,outputs,gates,iteration,backbones_count,cube_count,cpu_time,maxrss,key
dac12/c3540_enc10.bench,50,167,22,1843,40,0,356716,1.22079,15.8672,11101001001100110111110011100010001000011001000100101111101001111110011110000001101100111101100110101110001100000101011001001111110000001111010111100000011101000111110
dac12/c3540_enc25.bench,50,417,22,2094,71,0,766730,4.16927,23.1836,111010010011001101011100100000100010000110010001001011111010011111100101011000011011001111011001101011100011000001010110010011011100101011110101111000000111010001011101100000001000010000000001110000000000111010001111000100000001100111110000100001111010110010001000000111110000110100001111111000000011111011000001110000100000100111100101111110110010100000011101100111010111000100100000101011100000101100111111101001001
dac12/c3540_enc50.bench,50,835,22,2517,121,0,1743390,76.7445,73.1914,1110100100110011010111001000001000111001100100010010111010000111011001010110000110110011110101011010011000110010010001100000111000001010010111011110000111110100010111011000001010010100101110101010010000001111100011110001010000011001111000000011000111100100100010100001111100001101000011111000000110111110110010001100101001001001111001011111100100111000000111011001110101000001001000001010110000001011001111111010010011101010011010001010011001000001010110110001101010001001010110010111110001110100010011110010010110111110001101100000100010110001001111010111000101101101101101101110100001000000000001011001010001110111001010111001000100100111011011101010000111010001001011110100000000101011011000000101000111100011101001101110111100100100111100001110001110011011010110010001101100100001000010100000100000011011001101000110011010011101110
dac12/c432_enc05.bench,36,8,7,168,1,0,1810,0.021428,6.58984,11101001
dac12/c432_enc10.bench,36,16,7,176,9,0,9698,0.023834,6.58984,1110100100110011
dac12/c432_enc25.bench,36,40,7,200,24,0,28648,0.153492,6.58984,1110100100000011100110001001000001110100
dac12/c432_enc50.bench,36,80,7,251,24,0,38166,0.227551,6.58984,11101001000001011111100010010000011101000110110100101110101001111110010010000001
dac12/c499_enc05.bench,41,10,32,212,5,0,6568,0.039897,6.58984,1110000110
dac12/c499_enc10.bench,41,48,32,250,12,0,18164,1.38422,6.58984,110001110000010010011100000011111010001111110000
dac12/c499_enc25.bench,41,51,32,253,11,0,17056,1.77069,7.75,011100100101000010110001111001101101011111100100100
dac12/c499_enc50.bench,41,101,32,309,20,0,39732,7.98892,13.8711,11100100010100011000010000111101001010110010001101100110010100111111001010100110101100111101100110100
